tweet_id,text,sentiment
1,laptop seems decent for the price.,neutral
2,I love update! It's absolutely amazing.,positive
3,Customer service for update is awful.,negative
4,I love headphones! It's absolutely amazing.,positive
5,camera is awesome! Highly recommend it.,positive
6,I love update! It's absolutely amazing.,positive
7,No strong feelings about camera. It's alright.,neutral
8,Worst feature ever. Totally disappointed.,negative
9,So happy with the new update. Totally worth it!,positive
10,update seems decent for the price.,neutral
11,Fantastic experience — watch exceeded my expectations.,positive
12,I love laptop! It's absolutely amazing.,positive
13,Terrible experience using battery.,negative
14,Worst headphones ever. Totally disappointed.,negative
15,I hate this website. Waste of money.,negative
16,"Average TV. Does the job, I guess.",neutral
17,I love app! It's absolutely amazing.,positive
18,Terrible experience using game.,negative
19,Worst app ever. Totally disappointed.,negative
20,So happy with the new TV. Totally worth it!,positive
21,battery seems decent for the price.,neutral
22,Never buying service again. Huge letdown.,negative
23,I love keyboard! It's absolutely amazing.,positive
24,"TV is okay, nothing special.",neutral
25,Absolutely love the performance of website!,positive
26,I love battery! It's absolutely amazing.,positive
27,app stopped working after one day. Unacceptable.,negative
28,"camera is okay, nothing special.",neutral
29,I hate this camera. Waste of money.,negative
30,So frustrating. laptop keeps crashing.,negative
31,Never buying software again. Huge letdown.,negative
32,Worst battery ever. Totally disappointed.,negative
33,No strong feelings about game. It's alright.,neutral
34,Fantastic experience — brand exceeded my expectations.,positive
35,Best update I've used in a long time ❤️,positive
36,No strong feelings about update. It's alright.,neutral
37,Best app I've used in a long time ❤️,positive
38,So frustrating. service keeps crashing.,negative
39,No strong feelings about support. It's alright.,neutral
40,phone stopped working after one day. Unacceptable.,negative
41,Fantastic experience — camera exceeded my expectations.,positive
42,So frustrating. software keeps crashing.,negative
43,Best battery I've used in a long time ❤️,positive
44,Absolutely love the performance of phone!,positive
45,Never buying software again. Huge letdown.,negative
46,Worst camera ever. Totally disappointed.,negative
47,No strong feelings about service. It's alright.,neutral
48,"mouse works fine, just as expected.",neutral
49,I hate this headphones. Waste of money.,negative
50,Best service I've used in a long time ❤️,positive
51,Never buying brand again. Huge letdown.,negative
52,Worst keyboard ever. Totally disappointed.,negative
53,Never buying camera again. Huge letdown.,negative
54,I hate this phone. Waste of money.,negative
55,software seems decent for the price.,neutral
56,So frustrating. app keeps crashing.,negative
57,Pretty standard TV. Nothing to complain about.,neutral
58,phone is awesome! Highly recommend it.,positive
59,Pretty standard keyboard. Nothing to complain about.,neutral
60,Customer service for watch is awful.,negative
61,Fantastic experience — software exceeded my expectations.,positive
62,Customer service for laptop is awful.,negative
63,Best camera I've used in a long time ❤️,positive
64,I love mouse! It's absolutely amazing.,positive
65,No strong feelings about mouse. It's alright.,neutral
66,Customer service for laptop is awful.,negative
67,Can't stop smiling! update is perfect 😍,positive
68,So frustrating. website keeps crashing.,negative
69,So happy with the new feature. Totally worth it!,positive
70,Best headphones I've used in a long time ❤️,positive
71,So happy with the new camera. Totally worth it!,positive
72,software is awesome! Highly recommend it.,positive
73,"keyboard works fine, just as expected.",neutral
74,I love keyboard! It's absolutely amazing.,positive
75,Terrible experience using phone.,negative
76,So frustrating. app keeps crashing.,negative
77,I hate this feature. Waste of money.,negative
78,Customer service for support is awful.,negative
79,"Average laptop. Does the job, I guess.",neutral
80,I love service! It's absolutely amazing.,positive
81,Best headphones I've used in a long time ❤️,positive
82,brand is awesome! Highly recommend it.,positive
83,Worst software ever. Totally disappointed.,negative
84,Worst website ever. Totally disappointed.,negative
